epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,131.235,1.06684,1.17864,1.07017,0.72337,0.85714,0.7974,0.47393,1.45557,1.80001,1.17814,0.000487162,0.000487162,0.000487162
43,134.483,1.4989,1.33175,1.40272,0.59047,0.8265,0.65057,0.3206,1.28406,1.92976,1.20331,0.000490728,0.000490728,0.000490728
44,137.537,1.10093,1.65154,1.46893,0.59047,0.8265,0.65057,0.3206,1.28406,1.92976,1.20331,0.000493898,0.000493898,0.000493898
45,140.686,1.66076,2.46037,1.85906,0.5906,0.71429,0.62924,0.31289,1.35791,3.64382,1.26702,0.000496672,0.000496672,0.000496672
46,143.766,0.88261,1.05736,1.14994,0.5906,0.71429,0.62924,0.31289,1.35791,3.64382,1.26702,0.00049905,0.00049905,0.00049905
47,146.998,1.0695,0.85013,1.04332,0.47796,0.85714,0.50074,0.25996,1.44326,4.93352,1.28142,0.000501032,0.000501032,0.000501032
48,150.12,0.98393,1.26802,1.22317,0.47796,0.85714,0.50074,0.25996,1.44326,4.93352,1.28142,0.000502618,0.000502618,0.000502618
49,153.404,1.02669,0.74377,1.05632,0.57588,0.85714,0.62723,0.40158,1.19523,2.95018,1.18237,0.000503808,0.000503808,0.000503808
50,156.614,0.88564,3.90479,1.52457,0.57588,0.85714,0.62723,0.40158,1.19523,2.95018,1.18237,0.000504602,0.000504602,0.000504602
51,159.931,1.36676,1.37778,1.2702,0.68371,0.71429,0.70474,0.43964,1.31817,2.10258,1.37015,0.000505,0.000505,0.000505
52,163.15,1.7707,2.40415,1.92673,0.68371,0.71429,0.70474,0.43964,1.31817,2.10258,1.37015,0.000505002,0.000505002,0.000505002
53,166.345,1.61803,1.78056,1.78875,0.68371,0.71429,0.70474,0.43964,1.31817,2.10258,1.37015,0.000504608,0.000504608,0.000504608
54,169.661,1.5221,1.87165,1.49394,0.80489,0.71429,0.82073,0.45679,1.39634,3.04715,1.65682,0.000503818,0.000503818,0.000503818
55,172.972,1.576,1.67103,1.28623,0.80489,0.71429,0.82073,0.45679,1.39634,3.04715,1.65682,0.000502632,0.000502632,0.000502632
56,176.377,1.87795,2.50482,1.80118,0.80489,0.71429,0.82073,0.45679,1.39634,3.04715,1.65682,0.00050105,0.00050105,0.00050105
57,179.71,1.13473,1.06491,1.23368,0.7041,0.71429,0.75702,0.45002,1.28635,2.0512,1.40785,0.000499072,0.000499072,0.000499072
58,182.972,1.60195,2.03123,1.2674,0.7041,0.71429,0.75702,0.45002,1.28635,2.0512,1.40785,0.000496698,0.000496698,0.000496698
59,186.296,1.70071,1.78411,1.45689,0.7041,0.71429,0.75702,0.45002,1.28635,2.0512,1.40785,0.000493928,0.000493928,0.000493928
60,189.596,1.21271,1.63555,2.31807,0.97532,0.71429,0.75226,0.50016,1.25751,1.54525,1.21191,0.000490762,0.000490762,0.000490762
61,193.057,1.41187,1.90209,1.36655,0.97532,0.71429,0.75226,0.50016,1.25751,1.54525,1.21191,0.0004872,0.0004872,0.0004872
62,196.562,1.10027,1.52575,1.23118,0.97532,0.71429,0.75226,0.50016,1.25751,1.54525,1.21191,0.000483242,0.000483242,0.000483242
63,200.016,1.14896,1.94385,1.15284,0.9576,0.71429,0.79974,0.5981,1.0982,1.602,1.11438,0.000478888,0.000478888,0.000478888
64,203.311,1.28511,1.19014,1.19533,0.9576,0.71429,0.79974,0.5981,1.0982,1.602,1.11438,0.000474138,0.000474138,0.000474138
65,206.722,1.47361,1.51176,1.14814,0.9576,0.71429,0.79974,0.5981,1.0982,1.602,1.11438,0.000468992,0.000468992,0.000468992
66,210.324,1.09196,1.22394,0.99976,0.8012,0.85714,0.79439,0.60988,1.05541,2.7595,1.07609,0.00046345,0.00046345,0.00046345
67,213.698,2.00732,1.6193,1.25619,0.8012,0.85714,0.79439,0.60988,1.05541,2.7595,1.07609,0.000457512,0.000457512,0.000457512
68,217.032,1.53366,1.21841,1.06401,0.8012,0.85714,0.79439,0.60988,1.05541,2.7595,1.07609,0.000451178,0.000451178,0.000451178
69,220.424,1.69089,3.56972,1.52397,0.82162,0.85714,0.75437,0.53055,1.14563,3.69179,1.11904,0.000444448,0.000444448,0.000444448
70,223.619,1.29346,1.85052,1.19195,0.82162,0.85714,0.75437,0.53055,1.14563,3.69179,1.11904,0.000437322,0.000437322,0.000437322
71,226.779,1.37695,1.99677,1.19474,0.82162,0.85714,0.75437,0.53055,1.14563,3.69179,1.11904,0.0004298,0.0004298,0.0004298
